ticker,ticker_fullwidth,company_name
39220,３９２２０,ＰＲ　ＴＩＭＥＳ
39230,３９２３０,ラクス
39250,３９２５０,ダブルスタンダード
39260,３９２６０,オープンドア
39320,３９３２０,アカツキ
39370,３９３７０,Ｕｂｉｃｏｍホールディングス
39390,３９３９０,カナミックネットワーク
39410,３９４１０,レンゴー
39460,３９４６０,トーモク
39500,３９５００,ザ・パック
39620,３９６２０,チェンジホールディングス
39640,３９６４０,オークネット
39780,３９７８０,マクロミル
39830,３９８３０,オロ
39840,３９８４０,ユーザーローカル
39930,３９９３０,ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇｙ
39940,３９９４０,マネーフォワード
40040,４００４０,レゾナック・ホールディングス
40050,４００５０,住友化学
40080,４００８０,住友精化
40210,４０２１０,日産化学
40220,４０２２０,ラサ工業
40230,４０２３０,クレハ
40250,４０２５０,多木化学
40270,４０２７０,テイカ
40280,４０２８０,石原産業
40410,４０４１０,日本曹達
40420,４０４２０,東ソー
40430,４０４３０,トクヤマ
40440,４０４４０,セントラル硝子
40450,４０４５０,東亞合成
40460,４０４６０,大阪ソーダ
40470,４０４７０,関東電化工業
40530,４０５３０,Ｓｕｎ　Ａｓｔｅｒｉｓｋ
40610,４０６１０,デンカ
40620,４０６２０,イビデン
40630,４０６３０,信越化学工業
40640,４０６４０,日本カーバイド工業
40710,４０７１０,プラスアルファ・コンサルティング
40720,４０７２０,電算システムホールディングス
40780,４０７８０,堺化学工業
40820,４０８２０,第一稀元素化学工業
40880,４０８８０,エア・ウォーター
40910,４０９１０,日本酸素ホールディングス
40920,４０９２０,日本化学工業
40950,４０９５０,日本パーカライジング
40970,４０９７０,高圧ガス工業
40990,４０９９０,四国化成ホールディングス
41000,４１０００,戸田工業
41090,４１０９０,ステラ　ケミファ
41120,４１１２０,保土谷化学工業
41140,４１１４０,日本触媒
41160,４１１６０,大日精化工業
41180,４１１８０,カネカ
41510,４１５１０,協和キリン
41800,４１８００,Ａｐｐｉｅｒ　Ｇｒｏｕｐ
41820,４１８２０,三菱瓦斯化学
41830,４１８３０,三井化学
41860,４１８６０,東京応化工業
41870,４１８７０,大阪有機化学工業
41880,４１８８０,三菱ケミカルグループ
41890,４１８９０,ＫＨネオケム
41940,４１９４０,ビジョナル
42020,４２０２０,ダイセル
42030,４２０３０,住友ベークライト
42040,４２０４０,積水化学工業
42050,４２０５０,日本ゼオン
42060,４２０６０,アイカ工業
42080,４２０８０,ＵＢＥ
42120,４２１２０,積水樹脂
42160,４２１６０,旭有機材
42180,４２１８０,ニチバン
42200,４２２００,リケンテクノス
42210,４２２１０,大倉工業
42280,４２２８０,積水化成品工業
42290,４２２９０,群栄化学工業
42460,４２４６０,ダイキョーニシカワ
42490,４２４９０,森六ホールディングス
42510,４２５１０,恵和
42720,４２７２０,日本化薬
42750,４２７５０,カーリット
42860,４２８６０,ＣＬホールディングス
42900,４２９００,プレステージ・インターナショナル
42980,４２９８０,プロトコーポレーション
42990,４２９９０,ハイマックス
43010,４３０１０,アミューズ
43070,４３０７０,野村総合研究所
43100,４３１００,ドリームインキュベータ
43180,４３１８０,クイック
43230,４３２３０,日本システム技術
43240,４３２４０,電通グループ
43260,４３２６０,インテージホールディングス
43310,４３３１０,テイクアンドギヴ・ニーズ
43330,４３３３０,東邦システムサイエンス
43370,４３３７０,ぴあ
43430,４３４３０,イオンファンタジー
43440,４３４４０,ソースネクスト
43450,４３４５０,シーティーエス
43500,４３５００,メディカルシステムネットワーク
43620,４３６２０,日本精化
43680,４３６８０,扶桑化学工業
43690,４３６９０,トリケミカル研究所
43730,４３７３０,シンプレクス・ホールディングス
43820,４３８２０,ＨＥＲＯＺ
43840,４３８４０,ラクスル
43850,４３８５０,メルカリ
43900,４３９００,アイ・ピー・エス
43960,４３９６０,システムサポートホールディングス
44010,４４０１０,ＡＤＥＫＡ
44030,４４０３０,日油
44100,４４１００,ハリマ化成グループ
44200,４４２００,イーソル
44320,４４３２０,ウイングアーク１ｓｔ
